date,product_id,warehouse_id,units_sold,stock_level,price,promotion,temperature,event
2022-01-04,SKU-0001,WH-02,57,715,60.19,False,21.4,
2022-01-04,SKU-0001,WH-03,40,468,83.66,False,21.4,
2022-01-04,SKU-0002,WH-01,53,1300,70.22,False,21.4,
2022-01-04,SKU-0002,WH-02,52,802,62.38,False,21.4,
2022-01-04,SKU-0002,WH-03,77,1400,17.92,False,21.4,
2022-01-04,SKU-0003,WH-01,15,364,24.84,False,21.4,
2022-01-04,SKU-0003,WH-02,20,368,42.66,False,21.4,
2022-01-04,SKU-0003,WH-03,35,418,41.04,False,21.4,
2022-01-04,SKU-0004,WH-01,53,952,51.28,False,21.4,
2022-01-04,SKU-0004,WH-02,65,1464,66.3,False,21.4,
2022-01-04,SKU-0004,WH-03,97,1107,78.54,False,21.4,
2022-01-04,SKU-0005,WH-01,70,1506,13.19,False,21.4,
2022-01-04,SKU-0005,WH-02,47,1355,82.38,False,21.4,
2022-01-04,SKU-0005,WH-03,96,1572,91.81,False,21.4,
2022-01-05,SKU-0001,WH-01,48,1251,64.24,False,20.0,
2022-01-05,SKU-0001,WH-02,49,1461,27.48,False,20.0,
2022-01-05,SKU-0001,WH-03,45,1288,46.14,False,20.0,
2022-01-05,SKU-0002,WH-01,59,712,54.26,False,20.0,
2022-01-05,SKU-0002,WH-02,54,1507,59.99,False,20.0,
2022-01-05,SKU-0002,WH-03,70,2031,12.02,False,20.0,
2022-01-05,SKU-0003,WH-01,16,265,66.0,False,20.0,
2022-01-05,SKU-0003,WH-02,27,319,74.24,False,20.0,
2022-01-05,SKU-0003,WH-03,17,472,16.13,False,20.0,
2022-01-05,SKU-0004,WH-01,50,1118,24.17,False,20.0,
2022-01-05,SKU-0004,WH-02,70,1851,16.58,False,20.0,
2022-01-05,SKU-0004,WH-03,61,1602,17.67,False,20.0,
2022-01-05,SKU-0005,WH-01,72,840,84.84,False,20.0,
2022-01-05,SKU-0005,WH-02,81,990,68.45,False,20.0,
2022-01-05,SKU-0005,WH-03,83,1027,10.85,False,20.0,
2022-01-06,SKU-0001,WH-01,42,735,80.94,False,21.5,
2022-01-06,SKU-0001,WH-02,46,528,90.15,False,21.5,
2022-01-06,SKU-0001,WH-03,42,1004,119.37,False,21.5,
2022-01-06,SKU-0002,WH-01,55,600,72.28,False,21.5,
2022-01-06,SKU-0002,WH-02,72,1613,94.48,False,21.5,
2022-01-06,SKU-0002,WH-03,75,1625,21.21,False,21.5,
2022-01-06,SKU-0003,WH-01,27,709,79.01,False,21.5,
2022-01-06,SKU-0003,WH-02,34,974,21.38,False,21.5,
2022-01-06,SKU-0003,WH-03,26,681,13.97,False,21.5,
2022-01-06,SKU-0004,WH-01,96,2822,19.51,False,21.5,
2022-01-06,SKU-0004,WH-02,82,1268,64.5,False,21.5,
2022-01-06,SKU-0004,WH-03,81,2056,87.87,False,21.5,
2022-01-06,SKU-0005,WH-01,57,717,83.76,False,21.5,
2022-01-06,SKU-0005,WH-02,63,1409,69.15,False,21.5,
2022-01-06,SKU-0005,WH-03,118,3003,20.71,False,21.5,
2022-01-07,SKU-0001,WH-01,32,338,99.15,False,22.1,
2022-01-07,SKU-0001,WH-02,43,547,64.06,False,22.1,
2022-01-07,SKU-0001,WH-03,56,1050,44.4,True,22.1,
2022-01-07,SKU-0002,WH-01,64,1148,47.31,False,22.1,
2022-01-07,SKU-0002,WH-02,62,940,88.26,False,22.1,
2022-01-07,SKU-0002,WH-03,47,1065,106.02,False,22.1,
2022-01-07,SKU-0003,WH-01,18,304,16.68,False,22.1,
2022-01-07,SKU-0003,WH-02,19,263,55.22,False,22.1,
2022-01-07,SKU-0003,WH-03,34,400,26.47,True,22.1,
2022-01-07,SKU-0004,WH-01,64,1284,48.59,False,22.1,
2022-01-07,SKU-0004,WH-02,89,1036,11.92,False,22.1,
2022-01-07,SKU-0004,WH-03,65,1698,104.07,False,22.1,
2022-01-07,SKU-0005,WH-01,69,1359,26.02,False,22.1,
2022-01-07,SKU-0005,WH-02,108,1159,37.9,False,22.1,
2022-01-07,SKU-0005,WH-03,94,1940,72.35,False,22.1,
2022-01-08,SKU-0001,WH-01,55,965,53.24,False,24.0,
2022-01-08,SKU-0001,WH-02,86,1066,36.47,True,24.0,
2022-01-08,SKU-0001,WH-03,70,1398,70.12,False,24.0,
2022-01-08,SKU-0002,WH-01,73,1360,67.23,False,24.0,
2022-01-08,SKU-0002,WH-02,60,1285,40.5,False,24.0,
2022-01-08,SKU-0002,WH-03,112,1348,84.97,False,24.0,
2022-01-08,SKU-0003,WH-01,28,440,30.91,False,24.0,
2022-01-08,SKU-0003,WH-02,27,492,91.15,False,24.0,
2022-01-08,SKU-0003,WH-03,34,929,20.87,False,24.0,
2022-01-08,SKU-0004,WH-01,67,1915,34.87,False,24.0,
2022-01-08,SKU-0004,WH-02,70,962,67.18,False,24.0,
2022-01-08,SKU-0004,WH-03,132,1623,40.43,False,24.0,
2022-01-08,SKU-0005,WH-01,108,2119,31.88,False,24.0,
2022-01-08,SKU-0005,WH-02,105,1183,13.4,False,24.0,
2022-01-08,SKU-0005,WH-03,140,3308,36.66,False,24.0,
2022-01-09,SKU-0001,WH-01,42,572,51.47,False,20.9,
2022-01-09,SKU-0001,WH-02,75,960,77.39,False,20.9,
2022-01-09,SKU-0001,WH-03,68,1788,28.86,False,20.9,
2022-01-09,SKU-0002,WH-01,87,1553,55.25,False,20.9,
2022-01-09,SKU-0002,WH-02,76,1218,47.91,False,20.9,
2022-01-09,SKU-0002,WH-03,114,2015,42.92,False,20.9,
2022-01-09,SKU-0003,WH-01,26,749,89.58,False,20.9,
2022-01-09,SKU-0003,WH-02,32,717,41.29,False,20.9,
2022-01-09,SKU-0003,WH-03,35,568,86.69,False,20.9,
2022-01-09,SKU-0004,WH-01,80,2020,80.06,False,20.9,
2022-01-09,SKU-0004,WH-02,118,1534,38.84,False,20.9,
2022-01-09,SKU-0004,WH-03,128,3057,71.67,False,20.9,
2022-01-09,SKU-0005,WH-01,74,2085,37.09,False,20.9,
2022-01-09,SKU-0005,WH-02,120,1568,43.71,False,20.9,
2022-01-09,SKU-0005,WH-03,118,3238,55.22,False,20.9,
2022-01-10,SKU-0001,WH-01,48,626,74.28,False,22.7,
2022-01-10,SKU-0001,WH-02,37,1061,74.9,False,22.7,
2022-01-10,SKU-0001,WH-03,43,773,63.42,False,22.7,
2022-01-10,SKU-0002,WH-01,47,975,36.1,False,22.7,
2022-01-10,SKU-0002,WH-02,51,971,46.4,False,22.7,
2022-01-10,SKU-0002,WH-03,71,1418,49.47,False,22.7,
2022-01-10,SKU-0003,WH-01,14,317,102.31,False,22.7,
2022-01-10,SKU-0003,WH-02,32,375,67.84,True,22.7,
2022-01-10,SKU-0003,WH-03,31,775,51.46,False,22.7,
2022-01-10,SKU-0004,WH-01,65,698,85.61,False,22.7,
2022-01-10,SKU-0004,WH-02,34,640,69.28,False,22.7,
2022-01-10,SKU-0004,WH-03,81,2206,58.3,False,22.7,
2022-01-10,SKU-0005,WH-01,57,1036,47.23,False,22.7,
2022-01-10,SKU-0005,WH-02,137,1444,26.3,True,22.7,
2022-01-10,SKU-0005,WH-03,92,1249,31.1,False,22.7,
2022-01-11,SKU-0001,WH-01,49,879,73.28,False,22.1,
2022-01-11,SKU-0001,WH-02,53,544,29.17,False,22.1,
2022-01-11,SKU-0001,WH-03,45,1253,27.82,False,22.1,
2022-01-11,SKU-0002,WH-01,47,1025,47.96,False,22.1,
2022-01-11,SKU-0002,WH-02,83,1554,56.85,False,22.1,
2022-01-11,SKU-0002,WH-03,77,2107,74.67,False,22.1,
2022-01-11,SKU-0003,WH-01,21,219,94.12,False,22.1,
2022-01-11,SKU-0003,WH-02,17,217,66.65,False,22.1,
2022-01-11,SKU-0003,WH-03,21,324,105.92,False,22.1,
2022-01-11,SKU-0004,WH-01,100,1548,93.22,True,22.1,
2022-01-11,SKU-0004,WH-02,76,777,61.91,False,22.1,
2022-01-11,SKU-0004,WH-03,79,1739,95.8,False,22.1,
2022-01-11,SKU-0005,WH-01,69,1219,28.32,False,22.1,
2022-01-11,SKU-0005,WH-02,84,979,15.37,False,22.1,
2022-01-11,SKU-0005,WH-03,77,1318,29.75,False,22.1,
2022-01-12,SKU-0001,WH-01,33,948,73.67,False,21.5,
2022-01-12,SKU-0001,WH-02,56,1116,27.66,False,21.5,
2022-01-12,SKU-0001,WH-03,64,736,38.67,False,21.5,
2022-01-12,SKU-0002,WH-01,78,1164,51.17,False,21.5,
2022-01-12,SKU-0002,WH-02,79,1723,73.03,False,21.5,
2022-01-12,SKU-0002,WH-03,82,1124,18.11,False,21.5,
2022-01-12,SKU-0003,WH-01,23,533,95.8,False,21.5,
2022-01-12,SKU-0003,WH-02,19,274,85.82,False,21.5,
2022-01-12,SKU-0003,WH-03,27,288,102.74,False,21.5,
2022-01-12,SKU-0004,WH-01,73,1989,36.62,False,21.5,
2022-01-12,SKU-0004,WH-02,93,1154,33.28,False,21.5,
2022-01-12,SKU-0004,WH-03,58,656,81.79,False,21.5,
2022-01-12,SKU-0005,WH-01,92,2072,54.74,False,21.5,
2022-01-12,SKU-0005,WH-02,95,2734,65.97,False,21.5,
2022-01-12,SKU-0005,WH-03,78,1407,112.02,False,21.5,
2022-01-13,SKU-0001,WH-01,34,842,81.63,False,25.2,
2022-01-13,SKU-0001,WH-02,50,796,16.44,False,25.2,
2022-01-13,SKU-0001,WH-03,47,1109,12.52,False,25.2,
2022-01-13,SKU-0002,WH-01,74,2138,83.97,False,25.2,
2022-01-13,SKU-0002,WH-02,77,1560,63.81,False,25.2,
2022-01-13,SKU-0002,WH-03,61,1561,30.08,False,25.2,
2022-01-13,SKU-0003,WH-01,23,579,14.36,False,25.2,
2022-01-13,SKU-0003,WH-02,26,376,21.05,False,25.2,
2022-01-13,SKU-0003,WH-03,24,661,67.38,False,25.2,
2022-01-13,SKU-0004,WH-01,68,1571,22.01,False,25.2,
2022-01-13,SKU-0004,WH-02,51,775,18.43,False,25.2,
2022-01-13,SKU-0004,WH-03,91,2459,47.76,False,25.2,
2022-01-13,SKU-0005,WH-01,89,1509,54.44,False,25.2,
2022-01-13,SKU-0005,WH-02,88,2283,63.01,False,25.2,
2022-01-13,SKU-0005,WH-03,104,2781,83.44,False,25.2,
2022-01-14,SKU-0001,WH-01,56,1547,61.41,False,25.0,
2022-01-14,SKU-0001,WH-02,55,919,12.42,False,25.0,
2022-01-14,SKU-0001,WH-03,60,1209,25.49,False,25.0,
2022-01-14,SKU-0002,WH-01,89,2015,36.52,True,25.0,
2022-01-14,SKU-0002,WH-02,61,741,77.09,False,25.0,
2022-01-14,SKU-0002,WH-03,79,1790,58.15,False,25.0,
2022-01-14,SKU-0003,WH-01,24,273,19.56,False,25.0,
2022-01-14,SKU-0003,WH-02,23,389,74.72,False,25.0,
2022-01-14,SKU-0003,WH-03,26,273,14.64,False,25.0,
2022-01-14,SKU-0004,WH-01,76,1799,45.25,True,25.0,
2022-01-14,SKU-0004,WH-02,83,2149,30.37,False,25.0,
2022-01-14,SKU-0004,WH-03,74,1709,30.6,False,25.0,
2022-01-14,SKU-0005,WH-01,65,1877,93.45,False,25.0,
2022-01-14,SKU-0005,WH-02,83,2463,57.18,False,25.0,
2022-01-14,SKU-0005,WH-03,91,967,84.04,False,25.0,
2022-01-15,SKU-0001,WH-01,68,1736,93.81,False,25.7,
2022-01-15,SKU-0001,WH-02,77,972,84.05,False,25.7,
2022-01-15,SKU-0001,WH-03,118,2316,105.22,True,25.7,
2022-01-15,SKU-0002,WH-01,68,953,22.31,False,25.7,
2022-01-15,SKU-0002,WH-02,57,1479,18.62,False,25.7,
2022-01-15,SKU-0002,WH-03,88,1936,53.85,False,25.7,
2022-01-15,SKU-0003,WH-01,41,442,54.96,False,25.7,
2022-01-15,SKU-0003,WH-02,32,716,20.37,False,25.7,
2022-01-15,SKU-0003,WH-03,38,646,53.38,False,25.7,
2022-01-15,SKU-0004,WH-01,110,2349,17.14,True,25.7,
2022-01-15,SKU-0004,WH-02,92,1112,79.75,False,25.7,
2022-01-15,SKU-0004,WH-03,117,2829,70.31,False,25.7,
2022-01-15,SKU-0005,WH-01,96,2524,69.46,False,25.7,
2022-01-15,SKU-0005,WH-02,122,2324,100.39,False,25.7,
2022-01-15,SKU-0005,WH-03,118,1322,58.51,False,25.7,
2022-01-16,SKU-0001,WH-01,66,1702,79.34,False,24.5,
2022-01-16,SKU-0001,WH-02,58,845,64.31,False,24.5,
2022-01-16,SKU-0001,WH-03,99,2337,86.71,False,24.5,
2022-01-16,SKU-0002,WH-01,60,1642,12.43,False,24.5,
2022-01-16,SKU-0002,WH-02,83,1446,62.52,False,24.5,
2022-01-16,SKU-0002,WH-03,113,2121,13.92,False,24.5,
2022-01-16,SKU-0003,WH-01,34,743,45.01,False,24.5,
2022-01-16,SKU-0003,WH-02,34,839,33.24,False,24.5,
2022-01-16,SKU-0003,WH-03,36,714,76.83,False,24.5,
2022-01-16,SKU-0004,WH-01,44,756,95.19,False,24.5,
2022-01-16,SKU-0004,WH-02,89,1349,25.64,False,24.5,
2022-01-16,SKU-0004,WH-03,123,3616,37.43,False,24.5,
2022-01-16,SKU-0005,WH-01,120,3189,24.7,False,24.5,
2022-01-16,SKU-0005,WH-02,112,1494,37.24,False,24.5,
2022-01-16,SKU-0005,WH-03,141,2748,14.43,False,24.5,
2022-01-17,SKU-0001,WH-01,40,446,32.23,False,25.1,
2022-01-17,SKU-0001,WH-02,64,1045,89.1,False,25.1,
2022-01-17,SKU-0001,WH-03,64,1751,13.63,False,25.1,
2022-01-17,SKU-0002,WH-01,78,998,58.96,False,25.1,
2022-01-17,SKU-0002,WH-02,86,2018,37.19,True,25.1,
2022-01-17,SKU-0002,WH-03,66,1806,19.64,False,25.1,
2022-01-17,SKU-0003,WH-01,19,425,86.18,False,25.1,
2022-01-17,SKU-0003,WH-02,24,344,73.65,False,25.1,
2022-01-17,SKU-0003,WH-03,23,533,50.84,False,25.1,
2022-01-17,SKU-0004,WH-01,64,1755,14.76,False,25.1,
2022-01-17,SKU-0004,WH-02,76,1374,63.04,False,25.1,
2022-01-17,SKU-0004,WH-03,88,2284,72.58,False,25.1,
2022-01-17,SKU-0005,WH-01,76,769,89.47,False,25.1,
2022-01-17,SKU-0005,WH-02,113,2008,38.56,False,25.1,
2022-01-17,SKU-0005,WH-03,84,963,28.72,False,25.1,
2022-01-18,SKU-0001,WH-01,57,1554,50.97,False,23.4,
2022-01-18,SKU-0001,WH-02,48,1037,45.74,False,23.4,
2022-01-18,SKU-0001,WH-03,62,1510,69.11,False,23.4,
2022-01-18,SKU-0002,WH-01,61,907,12.52,False,23.4,
2022-01-18,SKU-0002,WH-02,73,878,15.13,False,23.4,
2022-01-18,SKU-0002,WH-03,68,1772,29.84,False,23.4,
2022-01-18,SKU-0003,WH-01,23,355,43.78,False,23.4,
2022-01-18,SKU-0003,WH-02,21,286,22.12,False,23.4,
2022-01-18,SKU-0003,WH-03,26,393,75.0,False,23.4,
2022-01-18,SKU-0004,WH-01,79,859,54.72,False,23.4,
2022-01-18,SKU-0004,WH-02,64,1772,107.16,False,23.4,
2022-01-18,SKU-0004,WH-03,130,3484,25.0,False,23.4,
2022-01-18,SKU-0005,WH-01,67,1038,44.93,False,23.4,
2022-01-18,SKU-0005,WH-02,94,2113,44.89,False,23.4,
2022-01-18,SKU-0005,WH-03,85,2317,66.09,False,23.4,
2022-01-19,SKU-0001,WH-01,49,977,35.89,False,27.3,
2022-01-19,SKU-0001,WH-02,58,1077,18.52,False,27.3,
2022-01-19,SKU-0001,WH-03,53,1143,84.17,False,27.3,
2022-01-19,SKU-0002,WH-01,58,843,16.23,False,27.3,
2022-01-19,SKU-0002,WH-02,64,1664,14.6,False,27.3,
2022-01-19,SKU-0002,WH-03,81,1673,58.8,False,27.3,
2022-01-19,SKU-0003,WH-01,25,615,43.3,False,27.3,
2022-01-19,SKU-0003,WH-02,23,311,18.41,False,27.3,
2022-01-19,SKU-0003,WH-03,26,494,28.3,False,27.3,
2022-01-19,SKU-0004,WH-01,79,2255,41.62,False,27.3,
2022-01-19,SKU-0004,WH-02,68,1825,48.74,False,27.3,
2022-01-19,SKU-0004,WH-03,78,979,71.28,False,27.3,
2022-01-19,SKU-0005,WH-01,68,1170,77.9,False,27.3,
2022-01-19,SKU-0005,WH-02,66,1184,85.93,False,27.3,
2022-01-19,SKU-0005,WH-03,108,2153,67.31,False,27.3,
2022-01-20,SKU-0001,WH-01,63,1736,27.5,False,25.1,
2022-01-20,SKU-0001,WH-02,69,802,77.02,False,25.1,
2022-01-20,SKU-0001,WH-03,86,2538,22.96,False,25.1,
2022-01-20,SKU-0002,WH-01,70,1549,83.81,False,25.1,
2022-01-20,SKU-0002,WH-02,80,1034,19.24,False,25.1,
2022-01-20,SKU-0002,WH-03,84,2463,16.23,False,25.1,
2022-01-20,SKU-0003,WH-01,34,412,27.07,False,25.1,
2022-01-20,SKU-0003,WH-02,27,352,33.95,False,25.1,
2022-01-20,SKU-0003,WH-03,33,987,74.74,False,25.1,
2022-01-20,SKU-0004,WH-01,71,1693,68.1,False,25.1,
2022-01-20,SKU-0004,WH-02,104,2338,47.28,False,25.1,
2022-01-20,SKU-0004,WH-03,100,1736,41.74,False,25.1,
2022-01-20,SKU-0005,WH-01,84,859,91.9,False,25.1,
2022-01-20,SKU-0005,WH-02,95,1967,50.41,False,25.1,
2022-01-20,SKU-0005,WH-03,106,2222,9.99,False,25.1,
2022-01-21,SKU-0001,WH-01,34,608,76.06,False,22.9,
2022-01-21,SKU-0001,WH-02,53,1259,77.06,False,22.9,
2022-01-21,SKU-0001,WH-03,56,1274,36.34,False,22.9,
2022-01-21,SKU-0002,WH-01,70,793,98.9,False,22.9,
2022-01-21,SKU-0002,WH-02,62,1463,27.19,False,22.9,
2022-01-21,SKU-0002,WH-03,98,1120,20.67,True,22.9,
2022-01-21,SKU-0003,WH-01,32,510,97.86,True,22.9,
2022-01-21,SKU-0003,WH-02,20,270,90.07,False,22.9,
2022-01-21,SKU-0003,WH-03,26,271,73.15,False,22.9,
2022-01-21,SKU-0004,WH-01,69,1552,105.65,False,22.9,
2022-01-21,SKU-0004,WH-02,87,2218,26.35,False,22.9,
2022-01-21,SKU-0004,WH-03,89,2634,52.38,False,22.9,
2022-01-21,SKU-0005,WH-01,84,1943,68.21,False,22.9,
2022-01-21,SKU-0005,WH-02,71,1334,42.84,False,22.9,
2022-01-21,SKU-0005,WH-03,106,1479,76.22,False,22.9,
2022-01-22,SKU-0001,WH-01,68,1831,36.82,False,24.9,
2022-01-22,SKU-0001,WH-02,94,2523,31.89,False,24.9,
2022-01-22,SKU-0001,WH-03,103,2153,71.58,False,24.9,
2022-01-22,SKU-0002,WH-01,72,1898,98.14,False,24.9,
2022-01-22,SKU-0002,WH-02,95,1980,58.27,False,24.9,
2022-01-22,SKU-0002,WH-03,72,1712,58.91,False,24.9,
2022-01-22,SKU-0003,WH-01,38,731,63.08,False,24.9,
2022-01-22,SKU-0003,WH-02,48,1248,31.53,True,24.9,
2022-01-22,SKU-0003,WH-03,46,633,64.27,False,24.9,
2022-01-22,SKU-0004,WH-01,92,2320,79.46,False,24.9,
2022-01-22,SKU-0004,WH-02,149,1934,65.94,True,24.9,
2022-01-22,SKU-0004,WH-03,79,2190,104.25,False,24.9,
2022-01-22,SKU-0005,WH-01,82,825,52.84,False,24.9,
2022-01-22,SKU-0005,WH-02,164,3747,39.68,False,24.9,
2022-01-22,SKU-0005,WH-03,147,3244,73.78,False,24.9,
2022-01-23,SKU-0001,WH-01,72,1739,59.38,False,24.5,
2022-01-23,SKU-0001,WH-02,67,1110,52.88,False,24.5,
2022-01-23,SKU-0001,WH-03,94,2323,17.63,False,24.5,
2022-01-23,SKU-0002,WH-01,76,1727,81.15,False,24.5,
2022-01-23,SKU-0002,WH-02,92,1626,24.48,False,24.5,
2022-01-23,SKU-0002,WH-03,97,1619,60.99,False,24.5,
2022-01-23,SKU-0003,WH-01,52,1059,10.81,True,24.5,
2022-01-23,SKU-0003,WH-02,31,851,101.96,False,24.5,
2022-01-23,SKU-0003,WH-03,48,944,22.48,False,24.5,
2022-01-23,SKU-0004,WH-01,72,1349,19.65,False,24.5,
2022-01-23,SKU-0004,WH-02,77,978,92.88,False,24.5,
2022-01-23,SKU-0004,WH-03,130,1980,61.54,False,24.5,
2022-01-23,SKU-0005,WH-01,93,2342,89.7,False,24.5,
2022-01-23,SKU-0005,WH-02,122,1302,72.53,False,24.5,
2022-01-23,SKU-0005,WH-03,141,2569,84.74,False,24.5,
2022-01-24,SKU-0001,WH-01,52,1103,12.26,False,23.8,
2022-01-24,SKU-0001,WH-02,63,1551,12.41,False,23.8,
2022-01-24,SKU-0001,WH-03,82,1747,29.41,False,23.8,
2022-01-24,SKU-0002,WH-01,82,1007,81.74,False,23.8,
2022-01-24,SKU-0002,WH-02,62,1316,32.2,False,23.8,
2022-01-24,SKU-0002,WH-03,85,965,21.2,False,23.8,
2022-01-24,SKU-0003,WH-01,23,453,58.43,False,23.8,
2022-01-24,SKU-0003,WH-02,30,577,99.27,False,23.8,
2022-01-24,SKU-0003,WH-03,35,709,63.71,False,23.8,
2022-01-24,SKU-0004,WH-01,67,891,48.02,False,23.8,
2022-01-24,SKU-0004,WH-02,94,2590,66.81,False,23.8,
2022-01-24,SKU-0004,WH-03,70,2079,85.77,False,23.8,
2022-01-24,SKU-0005,WH-01,73,2057,12.37,False,23.8,
2022-01-24,SKU-0005,WH-02,77,2036,56.44,False,23.8,
2022-01-24,SKU-0005,WH-03,118,3051,65.19,False,23.8,
2022-01-25,SKU-0001,WH-01,41,981,97.32,False,28.6,
2022-01-25,SKU-0001,WH-02,55,753,38.96,False,28.6,
2022-01-25,SKU-0001,WH-03,68,1517,66.11,False,28.6,
2022-01-25,SKU-0002,WH-01,69,2025,79.02,False,28.6,
2022-01-25,SKU-0002,WH-02,74,986,112.49,False,28.6,
2022-01-25,SKU-0002,WH-03,85,2073,55.42,False,28.6,
2022-01-25,SKU-0003,WH-01,16,435,21.59,False,28.6,
2022-01-25,SKU-0003,WH-02,23,447,62.17,False,28.6,
2022-01-25,SKU-0003,WH-03,28,744,57.19,False,28.6,
2022-01-25,SKU-0004,WH-01,105,1261,19.9,False,28.6,
2022-01-25,SKU-0004,WH-02,63,1574,24.02,False,28.6,
2022-01-25,SKU-0004,WH-03,131,2545,52.51,False,28.6,
2022-01-25,SKU-0005,WH-01,89,1469,64.18,False,28.6,
2022-01-25,SKU-0005,WH-02,98,1425,14.98,False,28.6,
2022-01-25,SKU-0005,WH-03,126,2552,34.23,False,28.6,
2022-01-26,SKU-0001,WH-01,38,1093,14.32,False,28.5,
2022-01-26,SKU-0001,WH-02,63,958,83.96,False,28.5,
2022-01-26,SKU-0001,WH-03,77,1458,63.57,False,28.5,
2022-01-26,SKU-0002,WH-01,82,2422,68.73,False,28.5,
2022-01-26,SKU-0002,WH-02,75,2038,46.96,False,28.5,
2022-01-26,SKU-0002,WH-03,83,860,98.76,False,28.5,
2022-01-26,SKU-0003,WH-01,22,344,82.1,False,28.5,
2022-01-26,SKU-0003,WH-02,35,418,20.87,False,28.5,
2022-01-26,SKU-0003,WH-03,38,835,9.02,False,28.5,
2022-01-26,SKU-0004,WH-01,76,2116,40.51,False,28.5,
2022-01-26,SKU-0004,WH-02,62,663,18.36,False,28.5,
2022-01-26,SKU-0004,WH-03,103,1161,100.29,False,28.5,
2022-01-26,SKU-0005,WH-01,89,2366,65.6,False,28.5,
2022-01-26,SKU-0005,WH-02,117,1912,44.85,False,28.5,
2022-01-26,SKU-0005,WH-03,100,1887,86.7,False,28.5,
2022-01-27,SKU-0001,WH-01,37,655,36.86,False,29.2,
2022-01-27,SKU-0001,WH-02,60,1492,68.91,False,29.2,
2022-01-27,SKU-0001,WH-03,63,1086,70.77,False,29.2,
2022-01-27,SKU-0002,WH-01,61,1795,13.85,False,29.2,
2022-01-27,SKU-0002,WH-02,78,1218,49.69,False,29.2,
2022-01-27,SKU-0002,WH-03,83,2162,49.49,False,29.2,
2022-01-27,SKU-0003,WH-01,30,538,51.92,False,29.2,
2022-01-27,SKU-0003,WH-02,28,564,64.35,False,29.2,
2022-01-27,SKU-0003,WH-03,34,608,50.09,False,29.2,
2022-01-27,SKU-0004,WH-01,81,1795,43.92,False,29.2,
2022-01-27,SKU-0004,WH-02,73,1732,88.42,False,29.2,
2022-01-27,SKU-0004,WH-03,65,807,41.81,False,29.2,
